Fold,Accuracy,Precision,Recall,F1-Score,MCC
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,0.996666669845581,0.9967000484466553,0.996666669845581,0.9966667890548706,0.9950165748596191
4,1.0,1.0,1.0,1.0,1.0
5,0.9933333396911621,0.9933667182922363,0.9933333396911621,0.9933334589004517,0.990016520023346
6,0.9733333587646484,0.9746667146682739,0.9733333587646484,0.9731634855270386,0.9608330726623535
7,0.996666669845581,0.9967000484466553,0.996666669845581,0.9966667890548706,0.9950165748596191
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,0.996666669845581,0.9967000484466553,0.996666669845581,0.9966667890548706,0.9950165748596191
